ng20,tf,32,30,0.2981879711151123
ng20,tf,16,30,0.2808399200439453
ng20,tf,16,28,0.28232303261756897
ng20,tf,16,2,0.08773861825466156
ng20,tf,16,2,0.07881350815296173
ng20,tf,16,2,0.09454331547021866
ng20,tf,16,2,0.09172099828720093
ng20,tf,16,2,0.09752129763364792
ng20,tf,16,2,0.20032304525375366
ng20,tf,16,2,0.08437297493219376
ng20,tf,16,10,0.2350572794675827
ng20,tf,16,2,0.20860499143600464
ng20,tf,16,5,0.28187957406044006
ng20,tf,16,5,0.2720264196395874
ng20,tf,16,10,0.23834361135959625
ng20,tf,16,15,0.24863143265247345
ng20,tf,16,25,0.2653832733631134
